game_n,winner,turn_outcome
65,,"(1, 1, 0, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 0, 0, 1, 2, 0, 1, 1, 1, 2, 2, 1, 2, 0, 0, 0, 0, 0, 1)"
66,3,"(0, 1, 2, 2, 2, 0, 0, 2, 1, 0, 1, 1, 0, 1, 0, 1, 1, 2, 1, 1, 1, 0, 2, 2, 0, 0, 1, 1, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 2, 1)"
67,0,"(1, 1, 1, 1, 2, 0, 0, 1, 2, 0, 2, 1, 2, 0, 0, 1, 0, 1, 1, 2, 1, 0, 1, 2, 2, 2, 0, 0, 1, 1, 1, 1, 2, 0, 1)"
68,1,"(1, 1, 1, 2, 0, 2, 0, 0, 1, 1, 0, 1, 0, 1, 2, 0, 2, 1, 1, 0, 0, 1, 1, 2, 2, 2, 1, 1, 0, 1, 2, 2, 2, 1, 2, 1)"
69,0,"(1, 0, 0, 2, 0, 2, 1, 0, 0, 1, 1, 1, 2, 1, 1, 0, 1, 2, 1, 0, 2, 0, 1, 0, 1, 0, 2, 0, 2, 0, 1, 2, 2, 1, 0, 2, 2, 1, 1, 0, 1)"
70,1,"(1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 0, 2, 2, 1, 2, 2, 0, 1, 0, 0, 0, 2, 0, 1, 1, 2, 0, 2, 0, 0, 0, 2, 2, 1, 0, 0, 1)"
71,2,"(0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 1, 0, 2, 1, 2, 2, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1)"
72,2,"(1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 2, 2, 0, 2, 1, 2, 1, 2, 2, 0, 0, 0, 1, 2, 0, 0, 1, 2, 2, 0, 1, 2, 0, 2, 1, 2, 0, 0, 0, 1, 0, 2, 2, 1)"
73,3,"(1, 1, 1, 2, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 2, 2, 0, 0, 2, 1, 0, 0, 1, 1, 0, 1, 2, 1, 1, 2, 1)"
74,0,"(1, 2, 2, 1, 0, 0, 2, 1, 1, 2, 1, 2, 0, 0, 2, 2, 1, 2, 1, 2, 0, 2, 1, 0, 2, 2, 2, 2, 1, 1, 1, 0, 2, 2, 2, 0, 2, 2, 0, 2, 1, 0, 0, 1, 0, 1, 2, 0, 1, 0, 1)"
75,3,"(1, 1, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 1, 1, 2, 2, 0, 2, 0, 1, 2, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1)"
