game_n,winner,turn_outcome
61,3,"(0, 1, 1, 1, 0, 0, 2, 1, 1, 1, 1, 2, 1, 2, 2, 1, 0, 2, 2, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0, 1, 2, 1, 1, 0, 2, 0, 1, 1, 0, 2, 0, 0, 1)"
62,2,"(1, 0, 0, 1, 1, 0, 0, 2, 2, 1, 0, 0, 2, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 1, 2, 0, 2, 2, 2, 1, 0, 2, 0, 1)"
63,4,"(1, 1, 2, 0, 0, 0, 2, 1, 2, 0, 1, 2, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1)"
64,0,"(1, 0, 1, 1, 2, 2, 0, 1, 1, 1, 0, 0, 2, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 1, 2, 2, 2, 0, 2, 1, 1)"
65,0,"(0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 1, 1, 2, 2, 0, 2, 2, 2, 1, 2, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 2, 1)"
66,1,"(1, 1, 2, 0, 2, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 0, 0, 0, 1, 1, 1, 1, 2, 0, 2, 2, 0, 0, 2, 0, 1, 1, 2, 0, 2, 2, 0, 1)"
67,,"(0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 2, 2, 0, 0, 2, 0, 1, 0, 2, 1, 2, 1, 1, 0, 2, 1, 1, 0, 2, 1, 1, 2, 2, 0, 0, 0, 1)"
68,1,"(0, 1, 1, 2, 1, 2, 1, 2, 0, 1, 1, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 2, 1, 0, 2, 0, 2, 0, 2, 2, 0, 2, 0, 2, 1, 2, 0, 2, 1)"
69,0,"(1, 1, 2, 1, 1, 2, 1, 2, 0, 0, 1, 2, 1, 1, 0, 2, 2, 0, 1, 2, 2, 0, 2, 2, 2, 0, 1, 1, 0, 1, 2, 2, 0, 2, 1, 1, 1, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 2, 0, 2, 1)"
70,0,"(0, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 0, 0, 0, 1, 1, 2, 2, 2, 1, 2, 0, 1, 2, 1, 2, 0, 0, 1, 0, 2, 1, 2, 0, 0, 0, 1, 2, 2, 2, 0, 2, 2, 2, 0, 0, 1)"
71,1,"(1, 1, 1, 2, 1, 0, 1, 2, 1, 1, 2, 2, 2, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 0, 0, 2, 1, 1, 1, 0, 2, 1, 0, 1)"
72,0,"(1, 0, 1, 1, 1, 2, 2, 1, 1, 0, 0, 2, 1, 0, 2, 1, 2, 0, 2, 2, 1, 2, 0, 0, 1, 0, 1, 0, 1, 2, 1, 0, 0, 1, 0, 1, 0, 1)"
73,2,"(1, 1, 1, 0, 0, 1, 0, 0, 2, 1, 0, 2, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 2, 2, 2, 1, 1, 1)"
74,2,"(0, 0, 1, 1, 2, 0, 1, 0, 1, 2, 1, 0, 2, 2, 0, 2, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 1)"
75,4,"(1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 0, 2, 1, 2, 0, 1, 0, 2, 2, 0, 2, 1, 1, 0, 2, 0, 2, 0, 2, 2, 1)"
76,3,"(1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 2, 2, 2, 1, 1, 0, 0, 0, 1, 1, 1, 2, 1, 2, 1, 1)"
77,1,"(1, 0, 2, 1, 2, 0, 1, 1, 2, 2, 0, 1, 0, 2, 1, 2, 1, 0, 0, 0, 2, 2, 0, 0, 1, 0, 2, 2, 0, 1, 0, 2, 1, 1, 2, 1, 1, 2, 1, 0, 1, 2, 0, 2, 2, 1)"
78,2,"(1, 1, 1, 0, 0, 0, 2, 2, 1, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 2, 0, 0, 1, 2, 1, 0, 1, 1, 2, 0, 0, 2, 1, 0, 2, 2, 1, 2, 2, 0, 1)"
79,1,"(1, 0, 1, 0, 1, 0, 2, 1, 0, 1, 2, 1, 0, 0, 1, 2, 1, 1, 1, 1, 0, 2, 0, 2, 1, 2, 2, 2, 0, 2, 1, 1, 2, 2, 0, 2, 2, 2, 1, 0, 1)"
80,4,"(1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 2, 1, 1, 1, 2, 1, 0, 2, 2, 1, 2, 0, 1, 1, 2, 2, 0, 1, 1)"
81,,"(1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 0, 2, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0, 0, 0, 1, 0, 1, 1, 2, 2, 1, 2, 2, 2, 0, 2, 0, 0, 2, 0, 0, 1, 0, 1)"
82,4,"(1, 0, 1, 2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 2, 1, 1, 2, 1, 2, 0, 1, 1, 1, 2, 1, 0, 2, 2, 1, 0, 0, 2, 1, 2, 2, 2, 2, 0, 1)"
83,4,"(1, 1, 1, 2, 2, 0, 0, 1, 2, 2, 2, 1, 2, 0, 1, 2, 1, 2, 0, 0, 1, 1, 0, 2, 1, 2, 1, 2, 0, 1, 0, 0, 0, 0, 2, 1, 1, 0, 2, 2, 2, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1)"
84,0,"(1, 0, 2, 1, 2, 0, 0, 2, 0, 1, 0, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 0, 1, 1, 2, 2, 2, 2, 2, 2, 0, 0, 1, 0, 2, 0, 1, 0, 0, 2, 2, 1, 2, 1)"
85,,"(1, 2, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 1, 1, 0, 2, 1, 2, 1, 2, 0, 1, 2, 2, 0, 0, 1)"
86,,"(1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 2, 1, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 2, 2, 1, 2, 2, 2, 0, 1, 1)"
87,3,"(1, 1, 1, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 2, 1, 1, 2, 0, 1, 1, 0, 1, 0, 0, 2, 2, 2, 0, 2, 1, 0, 1)"
88,0,"(1, 1, 1, 2, 0, 1, 2, 2, 2, 0, 2, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 2, 0, 2, 1, 1, 2, 0, 1, 1, 1, 1, 0, 0, 1)"
89,2,"(1, 0, 1, 1, 1, 2, 2, 2, 2, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 2, 0, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 0, 0, 0, 1, 2, 0, 0, 2, 1, 2, 0, 0, 1)"
90,1,"(0, 1, 1, 2, 1, 0, 1, 0, 0, 1, 0, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 0, 0, 2, 1, 2, 0, 1, 0, 1, 2, 0, 2, 0, 1, 2, 2, 0, 0, 1, 2, 1)"
91,2,"(0, 1, 1, 1, 0, 2, 1, 2, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 1, 1, 2, 0, 2, 1, 0, 0, 0, 0, 2, 1, 1, 1)"
92,2,"(0, 1, 2, 1, 1, 1, 0, 1, 0, 1, 1, 2, 1, 0, 0, 1, 1, 2, 2, 0, 0, 0, 1, 1, 2, 0, 0, 0, 2, 1, 0, 1, 0, 1, 1)"
93,4,"(1, 1, 0, 1, 0, 1, 1, 0, 1, 2, 2, 2, 1, 1, 1, 2, 2, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 1)"
94,0,"(1, 0, 1, 2, 1, 1, 0, 1, 0, 1, 1, 0, 1, 2, 0, 1, 2, 2, 1, 0, 1, 2, 1, 2, 2, 1, 1, 0, 1, 0, 2, 2, 1)"
95,4,"(1, 0, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 0, 1, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 2, 0, 1, 2, 1, 1, 2, 0, 0, 0, 1)"
96,1,"(1, 1, 0, 1, 2, 2, 2, 1, 2, 2, 0, 1, 0, 0, 0, 1, 1, 2, 2, 1, 0, 2, 0, 1, 0, 1, 2, 1, 2, 2, 2, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1)"
97,2,"(1, 1, 2, 0, 1, 1, 1, 1, 0, 2, 2, 1, 2, 0, 0, 0, 0, 1, 2, 0, 2, 0, 0, 2, 2, 2, 1, 2, 0, 2, 0, 1, 0, 2, 1, 1, 0, 1, 0, 2, 0, 1, 2, 0, 1, 2, 1)"
98,2,"(1, 0, 2, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 2, 0, 2, 0, 1, 0, 0, 1, 1, 0, 2, 2, 2, 1, 1, 2, 2, 2, 0, 2, 1, 1, 2, 2, 0, 0, 0, 0, 1)"
99,1,"(1, 1, 1, 0, 1, 0, 2, 0, 1, 1, 0, 0, 1, 1, 2, 0, 1, 2, 0, 1, 1, 2, 0, 2, 2, 2, 1, 2, 0, 0, 2, 1, 2, 2, 2, 0, 2, 0, 0, 1, 0, 1, 1)"
